Points,WideArea,NarrowArea,ExactArea
100,0.874992,0.83,0.944517
600,0.858789,0.773333,0.944517
1100,0.963375,0.781818,0.944517
1600,0.881069,0.780625,0.944517
2100,1.09721,0.78381,0.944517
2600,1.01335,0.795385,0.944517
3100,0.918899,0.800968,0.944517
3600,0.985717,0.781389,0.944517
4100,0.905819,0.777805,0.944517
4600,0.955306,0.782609,0.944517
5100,0.945525,0.783529,0.944517
5600,0.914922,0.788214,0.944517
6100,0.927587,0.789836,0.944517
6600,0.944226,0.792727,0.944517
7100,0.911964,0.789577,0.944517
7600,0.979889,0.787895,0.944517
8100,0.913401,0.78716,0.944517
8600,0.937169,0.78186,0.944517
9100,0.932684,0.788022,0.944517
9600,0.987404,0.784167,0.944517
10100,0.940448,0.785248,0.944517
10600,0.93094,0.774057,0.944517
11100,0.929296,0.794775,0.944517
11600,0.939527,0.795517,0.944517
12100,0.964982,0.788099,0.944517
12600,0.935177,0.783333,0.944517
13100,0.928427,0.780382,0.944517
13600,0.946479,0.783015,0.944517
14100,0.939117,0.781418,0.944517
14600,0.959562,0.787466,0.944517
15100,0.9265,0.782318,0.944517
15600,0.941676,0.784936,0.944517
16100,0.94504,0.787578,0.944517
16600,0.944101,0.784217,0.944517
17100,0.958,0.786901,0.944517
17600,0.934098,0.788466,0.944517
18100,0.951802,0.781989,0.944517
18600,0.938761,0.789462,0.944517
19100,0.918258,0.788691,0.944517
19600,0.935012,0.783112,0.944517
20100,0.948029,0.788259,0.944517
20600,0.984012,0.78301,0.944517
21100,0.958851,0.78564,0.944517
21600,0.948358,0.782917,0.944517
22100,0.959456,0.785792,0.944517
22600,0.933927,0.779248,0.944517
23100,0.920026,0.785325,0.944517
23600,0.970978,0.787924,0.944517
24100,0.947202,0.790664,0.944517
24600,0.983279,0.783008,0.944517
25100,0.925733,0.781873,0.944517
25600,0.964998,0.779727,0.944517
26100,0.948001,0.785517,0.944517
26600,0.950284,0.784248,0.944517
27100,0.95033,0.784613,0.944517
27600,0.97327,0.786558,0.944517
28100,0.949379,0.783915,0.944517
28600,0.948078,0.785664,0.944517
29100,0.945486,0.786392,0.944517
29600,0.918019,0.789155,0.944517
30100,0.944436,0.784485,0.944517
30600,0.938853,0.784281,0.944517
31100,0.959397,0.78627,0.944517
31600,0.952831,0.785601,0.944517
32100,0.940715,0.783894,0.944517
32600,0.955215,0.789264,0.944517
33100,0.921694,0.783927,0.944517
33600,0.961508,0.785923,0.944517
34100,0.941992,0.786364,0.944517
34600,0.928099,0.782312,0.944517
35100,0.951994,0.78433,0.944517
35600,0.951185,0.785225,0.944517
36100,0.928854,0.786537,0.944517
36600,0.940603,0.787404,0.944517
37100,0.960421,0.78504,0.944517
37600,0.948167,0.784894,0.944517
38100,0.945165,0.786667,0.944517
38600,0.933174,0.784741,0.944517
39100,0.934916,0.783376,0.944517
39600,0.955028,0.787273,0.944517
40100,0.938998,0.78788,0.944517
40600,0.952578,0.783251,0.944517
41100,0.927743,0.784355,0.944517
41600,0.944403,0.786683,0.944517
42100,0.942193,0.784181,0.944517
42600,0.950305,0.786385,0.944517
43100,0.932964,0.786427,0.944517
43600,0.943003,0.787569,0.944517
44100,0.962293,0.785238,0.944517
44600,0.948453,0.786906,0.944517
45100,0.935351,0.787472,0.944517
45600,0.954944,0.785702,0.944517
46100,0.923708,0.787701,0.944517
46600,0.966789,0.78088,0.944517
47100,0.967466,0.784331,0.944517
47600,0.944232,0.783824,0.944517
48100,0.94331,0.786154,0.944517
48600,0.95361,0.783416,0.944517
49100,0.952413,0.785804,0.944517
49600,0.965157,0.786149,0.944517
50100,0.970273,0.787465,0.944517
50600,0.964336,0.784605,0.944517
51100,0.937777,0.784912,0.944517
51600,0.932835,0.782558,0.944517
52100,0.919031,0.785336,0.944517
52600,0.940607,0.785304,0.944517
53100,0.941637,0.784426,0.944517
53600,0.951717,0.78528,0.944517
54100,0.957118,0.783845,0.944517
54600,0.933574,0.784505,0.944517
55100,0.933572,0.785771,0.944517
