Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,204,96,74,65,65,67,67
600,256,115,94,98,87,88,91
700,329,125,103,104,90,96,100
800,308,132,124,104,108,104,119
900,343,178,145,117,123,125,120
1000,379,191,162,135,131,138,144
1100,427,209,161,169,146,152,156
1200,467,215,188,173,168,162,187
1300,522,241,196,187,182,183,196
1400,579,253,212,225,205,201,218
1500,591,273,250,217,223,204,238
1600,703,309,287,253,251,242,274
1700,705,351,292,255,253,245,246
1800,742,399,313,267,269,265,264
1900,785,403,322,289,285,283,287
2000,775,397,319,278,291,288,286
2100,862,443,354,332,318,318,325
2200,925,459,371,368,333,333,349
2300,980,469,392,384,355,351,371
2400,1005,486,396,401,369,377,396
2500,1042,497,410,411,381,379,404
2600,1090,508,427,427,398,398,425
2700,1136,526,443,445,418,414,449
2800,1179,539,455,456,455,433,468
2900,1222,558,503,471,474,449,497
3000,1267,577,564,499,499,478,541
3100,1315,601,596,505,507,487,547
3200,1360,646,604,522,523,502,566
3300,1401,689,622,537,535,521,551
3400,1447,740,641,554,552,543,540
3500,1509,791,654,570,571,558,565
3600,1522,829,669,586,587,579,580
3700,1564,848,681,606,605,598,600
3800,1606,864,693,622,620,617,617
3900,1645,879,712,635,639,637,637
4000,1690,897,731,655,656,658,660
4100,1726,910,744,674,674,670,684
4200,1806,930,764,727,693,696,701
4300,1839,949,785,773,709,708,725
4400,1883,961,798,796,727,728,746
4500,1930,980,813,814,744,743,765
4600,1984,994,829,827,760,762,789
4700,2022,1013,842,845,780,780,812
4800,2069,1032,862,864,797,796,836
4900,2119,1047,878,874,814,813,854
5000,2161,1066,897,899,835,832,881
5100,2206,1087,914,910,851,851,903
5200,2185,1065,904,909,844,849,913
5300,2228,1085,929,923,874,878,940
5400,2273,1097,937,937,888,878,961
5500,2330,1113,949,954,930,900,983
5600,2356,1130,969,966,962,921,1008
5700,2398,1154,1005,988,986,938,1030
5800,2434,1165,1057,1006,999,960,1053
5900,2484,1189,1115,1022,1018,986,1086
6000,2553,1206,1159,1046,1040,1000,1112
6100,5116,1274,1234,1077,1073,1043,1184
6200,2633,1274,1257,1114,1117,1108,1214
6300,2698,1349,1302,1141,1134,1102,1219
6400,2718,1348,1281,1120,1121,1092,1219
6500,2767,1405,1304,1136,1140,1109,1246
6600,2795,1452,1300,1142,1139,1111,1212
6700,2824,1488,1309,1162,1159,1139,1136
6800,2899,1541,1328,1177,1174,1160,1156
6900,2916,1581,1349,1189,1193,1177,1176
7000,2952,1630,1364,1211,1214,1194,1189
7100,3009,1687,1377,1230,1235,1217,1210
7200,3041,1714,1393,1247,1246,1233,1238
7300,3109,1731,1412,1270,1257,1255,1262
7400,3118,1748,1423,1279,1284,1280,1281
7500,3163,1761,1442,1305,1297,1299,1302
7600,3209,1780,1469,1314,1322,1335,1338
7700,3267,1810,1481,1333,1337,1346,1337
7800,3297,1825,1496,1352,1363,1359,1367
7900,3369,1836,1521,1379,1376,1382,1384
8000,3386,1851,1532,1396,1394,1405,1408
8100,3427,1866,1551,1408,1417,1413,1434
8200,3452,1886,1570,1442,1426,1432,1454
8300,3510,1898,1588,1480,1454,1439,1477
8400,3563,1925,1605,1526,1475,1469,1497
8500,3608,1941,1624,1586,1477,1492,1523
8600,3662,1979,1713,1672,1527,1510,1556
8700,3702,1978,1675,1663,1535,1523,1571
8800,3749,1993,1690,1674,1543,1545,1592
8900,3813,2006,1702,1695,1566,1558,1611
9000,3848,2029,1714,1713,1591,1579,1641
9100,3906,2056,1742,1738,1608,1602,1658
9200,3955,2064,1757,1751,1619,1626,1686
9300,3998,2072,1755,1752,1625,1631,1697
9400,4019,2098,1780,1768,1646,1646,1724
9500,4078,2123,1791,1793,1688,1662,1749
9600,4120,2157,1819,1818,1692,1685,1763
9700,4202,2174,1851,1844,1721,1721,1815
9800,4227,2179,1837,1845,1714,1725,1810
9900,4261,2194,1872,1864,1737,1742,1847
10000,4305,2202,1878,1876,1759,1749,1865
