Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,207,98,73,56,56,47,43
600,283,125,84,91,72,73,55
700,274,114,84,84,81,68,54
800,313,133,122,95,94,84,63
900,350,181,138,111,105,83,83
1000,394,193,148,119,114,98,99
1100,438,211,162,158,135,127,103
1200,484,224,174,174,140,142,126
1300,518,245,187,191,166,148,135
1400,565,259,195,199,186,164,137
1500,601,268,238,212,201,173,148
1600,699,314,294,230,228,188,155
1700,725,358,300,236,236,196,193
1800,760,402,319,248,248,204,212
1900,803,423,323,266,265,221,216
2000,801,415,317,266,253,231,229
2100,886,450,355,317,286,287,239
2200,938,466,367,371,300,299,255
2300,993,494,385,380,313,323,261
2400,1035,495,393,390,320,322,273
2500,1070,510,404,403,333,332,281
2600,1127,526,423,418,346,348,295
2700,1164,538,434,429,366,357,305
2800,1218,560,447,446,436,372,318
2900,1256,571,500,460,457,382,330
3000,1333,590,557,471,473,393,340
3100,1353,615,603,489,488,408,349
3200,1396,661,619,501,500,418,360
3300,1446,716,629,515,513,435,406
3400,1490,767,646,528,525,447,442
3500,1531,816,662,541,538,457,453
3600,1568,862,683,566,565,477,475
3700,1609,879,691,569,568,483,479
3800,1652,895,703,582,578,494,491
3900,1696,912,721,593,598,508,508
4000,1737,930,736,608,605,542,517
4100,1776,946,751,622,621,622,533
4200,1836,964,770,696,638,641,545
4300,1888,983,787,760,652,652,560
4400,1937,997,798,803,667,662,568
4500,1991,1019,818,818,681,680,584
4600,2033,1028,834,846,702,705,617
4700,2086,1053,848,846,706,708,610
4800,2131,1070,863,863,724,723,622
4900,2180,1087,878,876,735,733,633
5000,2224,1105,892,888,748,748,647
5100,2262,1119,904,1918,1164,1625,1020
5200,2250,1106,895,904,755,748,659
5300,2293,1121,917,907,774,764,672
5400,2346,1148,927,931,800,785,691
5500,2393,1166,947,940,873,797,698
5600,2441,1175,958,958,944,812,705
5700,2492,1194,1004,968,974,824,720
5800,2594,1281,1090,996,997,842,739
5900,2583,1233,1131,1010,1006,855,747
6000,2628,1256,1189,1027,1023,873,758
6100,2661,1275,1238,1043,1042,883,789
6200,2730,1317,1293,1044,1055,899,791
6300,2729,1348,1279,1065,1061,913,791
6400,2784,1381,1300,1080,1075,908,817
6500,2824,1438,1321,1089,1092,922,826
6600,2955,1508,1332,1099,1099,947,896
6700,2910,1538,1346,1110,1111,960,948
6800,2957,1593,1371,1122,1128,972,968
6900,3009,1645,1373,1139,1146,983,985
7000,3044,1696,1397,1158,1152,995,992
7100,3086,1749,1413,1175,1174,999,1010
7200,3125,1779,1427,1183,1188,1021,1018
7300,3176,1790,1446,1192,1211,1052,1054
7400,3212,1814,1459,1208,1209,1049,1040
7500,3262,1828,1471,1236,1237,1059,1062
7600,3379,1854,1502,1247,1246,1079,1082
7700,3368,1878,1519,1258,1273,1087,1090
7800,3399,1892,1520,1276,1278,1102,1098
7900,3452,1912,1539,1294,1299,1121,1117
8000,3484,1923,1564,1301,1301,1179,1137
8100,3565,2036,1593,1333,1326,1272,1144
8200,3563,1962,1586,1348,1324,1339,1156
8300,3623,1978,1607,1406,1352,1358,1176
8400,3676,2002,1624,1476,1376,1377,1193
8500,3719,2017,1637,1553,1382,1385,1203
8600,3782,2061,1660,1611,1409,1399,1223
8700,3814,2055,1674,1671,1414,1405,1232
8800,3906,2158,1723,1707,1440,1435,1262
8900,3928,2096,1714,1712,1456,1446,1259
9000,3965,2113,1731,1719,1467,1486,1322
9100,4030,2150,1759,1748,1481,1475,1294
9200,4079,2149,1765,1759,1506,1487,1305
9300,4109,2179,1779,1766,1491,1494,1314
9400,4155,2176,1780,1773,1515,1514,1321
9500,4191,2199,1799,1790,1530,1530,1327
9600,4235,2215,1805,1809,1533,1542,1358
9700,4307,2245,1847,1842,1560,1557,1361
9800,4342,2251,1852,1839,1566,1573,1375
9900,4395,2272,1875,1856,1589,1584,1392
10000,4444,2287,1880,1877,1604,1596,1409
