Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,229,112,87,80,70,66,62
600,271,128,106,104,90,89,80
700,353,169,137,140,135,115,116
800,364,166,146,134,133,124,108
900,380,212,164,140,137,122,129
1000,439,225,179,157,161,143,137
1100,487,246,199,195,172,167,155
1200,528,265,214,218,184,184,183
1300,625,282,232,228,214,201,198
1400,635,316,257,249,253,223,231
1500,653,315,302,260,266,226,227
1600,698,358,903,695,640,261,260
1700,790,426,368,312,309,278,276
1800,833,479,386,331,329,295,291
1900,877,501,402,356,341,313,313
2000,924,526,425,360,353,313,318
2100,979,538,443,406,384,381,351
2200,1057,575,470,470,411,419,388
2300,1097,591,484,480,426,416,385
2400,1145,611,504,503,433,446,406
2500,1183,623,524,518,452,454,424
2600,1234,640,537,532,471,467,444
2700,1284,660,560,552,497,487,464
2800,1337,678,572,571,561,507,479
2900,1394,700,637,594,595,527,506
3000,1441,723,691,610,612,545,521
3100,1500,759,746,632,635,567,544
3200,1548,810,761,653,652,580,564
3300,1595,867,782,669,670,600,593
3400,1642,922,802,691,689,621,622
3500,1690,978,824,708,703,640,641
3600,1730,1030,846,732,725,662,660
3700,1822,1051,862,750,746,680,677
3800,1828,1072,881,767,766,696,698
3900,1876,1095,900,785,784,717,718
4000,1931,1119,927,807,804,758,739
4100,1971,1140,946,828,824,823,758
4200,2036,1164,970,912,867,863,812
4300,2095,1189,997,971,867,868,806
4400,2149,1210,1016,1010,888,885,820
4500,2204,1233,1034,1031,909,906,843
4600,2262,1255,1055,1052,927,926,862
4700,2344,1279,1077,1069,948,944,878
4800,2364,1301,1095,1092,965,971,908
4900,2417,1324,1115,1113,991,988,925
5000,2465,1345,1137,1136,1010,1007,947
5100,2508,1395,1179,1207,1029,1027,969
5200,2528,1351,1134,1135,1009,1004,960
5300,2537,1355,1152,1159,1029,1031,984
5400,2588,1376,1174,1172,1055,1050,1002
5500,2735,1442,1207,1196,1141,1067,1025
5600,2699,1414,1212,1221,1201,1084,1039
5700,2739,1446,1269,1230,1231,1116,1059
5800,2798,1469,1328,1256,1257,1127,1094
5900,2849,1492,1398,1285,1281,1159,1119
6000,2888,1690,1823,1580,1341,1183,1142
6100,2948,1535,1516,1318,1321,1520,2210
6200,3096,1613,1589,1362,1350,1238,1193
6300,3044,1660,1603,1395,1399,1268,1236
6400,3066,1675,1582,1378,1374,1258,1213
6500,3114,1732,1632,1429,1448,1282,1253
6600,3155,1795,1629,1414,1414,1291,1268
6700,3229,1853,1653,1448,1433,1312,1318
6800,3262,1909,1678,1480,1498,1397,1347
6900,3311,1963,1704,1481,1469,1357,1352
7000,3359,2012,1722,1501,1491,1376,1367
7100,3415,2079,1785,1600,1530,1402,1397
7200,3462,2123,1768,1535,1544,1423,1407
7300,3501,2139,1781,1562,1555,1439,1450
7400,3631,2179,1822,1587,1585,1462,1464
7500,3609,2189,1824,1603,1609,1480,1486
7600,3652,2221,1842,1625,1621,1505,1498
7700,3710,2250,1870,1659,1649,1526,1520
7800,3765,2258,1894,1681,1663,1557,1543
7900,3814,2286,1924,1712,1742,1620,1573
8000,3870,2321,1938,1708,1712,1631,1596
8100,3898,2333,1961,1742,1732,1692,1610
8200,3953,2355,1984,1759,1748,1760,1634
8300,4024,2374,2018,1824,1777,1779,1669
8400,4074,2404,2071,1990,1822,1814,1687
8500,4122,2431,2052,1982,1819,1818,1706
8600,4186,2453,2072,2046,1841,1838,1719
8700,4245,2481,2110,2103,1861,1865,1757
8800,4294,2499,2138,2119,1887,1870,1779
8900,4351,2602,2191,2165,1913,1921,1800
9000,4407,2543,2174,2176,1934,1923,1817
9100,4729,2626,2224,2217,1954,1956,1838
9200,4535,2691,2259,2228,1987,1980,1868
9300,4602,2674,2187,2218,1980,1980,1875
9400,4594,2632,2260,2241,1998,2001,1888
9500,4634,2664,2288,2319,2031,2029,1917
9600,4698,2687,2295,2298,2041,2042,1935
9700,4761,2704,2310,2313,2092,2127,1969
9800,4812,2731,2338,2335,2086,2092,1977
9900,4866,2764,2357,2358,2139,2164,2015
10000,4915,2780,2372,2382,2132,2134,2022
